reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-0001,Rishiri-Rebun-Sarobetsu National Park,45.1942,141.239,QN05oe,JP-HK,25,17,654,0,0
JP-0002,Shiretoko National Park,44.165,145.205,QN24od,JP-HK,11,11,373,0,0
JP-0003,Akan-Mashu National Park,43.4362,144.103,QN23bk,JP-HK,34,29,731,0,0
JP-0004,Kushiroshitsugen National Park,43.1383,144.445,QN23fd,JP-HK,55,23,728,0,0
JP-0005,Daisetsuzan National Park,43.6717,142.907,QN13kq,JP-HK,42,38,961,0,0
JP-0006,Shikotsu-Toya National Park,42.7959,141.221,QN02ot,JP-HK,55,46,1341,0,0
JP-0007,Towada-Hachimantai National Park,40.2442,140.939,QN00lf,"JP-AK,JP-AO,JP-IW",84,68,2423,0,0
JP-0008,Sanriku Fukko National Park,39.0046,141.585,QM09ta,"JP-AO,JP-IW,JP-MG",262,244,11165,0,0
JP-0009,Bandai-Asahi National Park,37.8229,139.74,PM97ut,"JP-FS,JP-NI,JP-YT",229,196,7225,0,0
JP-0010,Nikko National Park,36.8763,139.464,PM96rv,"JP-FS,JP-GM,JP-TC",460,418,17538,0,3
JP-0011,Oze National Park,36.9382,139.287,PM96pw,"JP-FS,JP-GM,JP-NI,JP-TC",46,44,1513,0,0
JP-0012,Joshinetsu Kogen National Park,36.6919,138.519,PM96gq,"JP-GM,JP-NI,JP-NN",399,346,12400,0,1
JP-0013,Myoko-Togakushi renzan National Park,36.8364,138.077,PM96au,"JP-NI,JP-NN",75,71,2134,0,0
JP-0014,Chichibu-Tama-Kai National Park,35.8593,138.863,PM95ku,"JP-NN,JP-ST,JP-TK,JP-YN",922,822,45295,0,9
JP-0015,Ogasawara National Park,27.0671,142.211,QL17cb,JP-OG,7,7,457,0,0
JP-0016,Fuji-Hakone-Izu National Park,35.2347,139.022,PM95mf,"JP-KN,JP-SZ,JP-TK,JP-YN",1577,1238,58829,0,31
JP-0017,Chubusangaku National Park,36.449,137.622,PM86tk,"JP-GF,JP-NI,JP-NN,JP-TY",116,94,2595,0,0
JP-0018,Hakusan National Park,36.1579,136.765,PM86jd,"JP-FI,JP-GF,JP-IS,JP-TY",50,47,1453,0,0
JP-0019,Minami Alps National Park,35.6421,138.217,PM95cp,"JP-NN,JP-SZ,JP-YN",30,25,590,0,0
JP-0020,Ise-Shima National Park,34.426,136.802,PM84jk,JP-ME,91,79,3631,0,0
JP-0021,Yoshino-Kumano National Park,33.6542,135.659,PM73tp,"JP-ME,JP-NR,JP-WK",94,88,3221,0,1
JP-0022,San'inkaigan National Park,35.6485,134.65,PM75hp,"JP-HG,JP-KY,JP-TT",73,67,2992,0,0
JP-0023,Setonaikai National Park,34.2796,133.229,PM64og,"JP-EH,JP-FO,JP-HG,JP-HS,JP-KG,JP-OS,JP-OT,JP-OY,JP-TS,JP-WK,JP-YC",1050,908,30569,0,0
JP-0024,Daisen-Oki National Park,35.4072,133.543,PM65sj,"JP-OY,JP-SM,JP-TT",88,78,3338,0,0
JP-0025,Ashizuri-Uwakai National Park,32.7791,132.979,PM62ls,"JP-EH,JP-KC",52,46,7829,0,5
JP-0026,Saikai National Park,33.1642,129.677,PM43ud,JP-NS,22,17,563,0,0
JP-0027,Unzen-Amakusa National Park,32.7105,130.273,PM52dr,"JP-KM,JP-KS,JP-NS",33,29,2182,0,0
JP-0028,Aso-Kuju National Park,32.9499,131.086,PM52nw,"JP-KM,JP-OT",101,87,4727,0,1
JP-0029,Kirishima-Kinkowan National Park,31.9211,130.877,PM51kw,"JP-KS,JP-MZ",50,43,2009,0,0
JP-0030,Yakushima (Island) National Park,30.3261,130.53,PM50gh,JP-KS,5,3,136,0,0
JP-0031,Amamigunto National Park,28.2426,129.309,PL48pf,JP-KS,19,18,988,0,0
JP-0032,Yambaru National Park,26.7286,128.221,PL46cr,JP-ON,12,12,369,0,0
JP-0033,Keramashoto National Park,26.202,127.36,PL36qe,JP-ON,7,6,184,0,0
JP-0034,Iriomote-Ishigaki National Park,24.3515,123.924,PL14xi,JP-ON,65,34,2611,0,0
JP-0101,Shokanbetsu-Teuri-Yagishiri Quasi-National Park,43.7292,141.542,QN03sr,JP-HK,14,13,882,0,0
JP-0102,Abashiri Quasi-National Park,44.1892,143.748,QN14ue,JP-HK,19,18,533,0,0
JP-0103,Niseko-Shakotan-Otaru Kaigan Quasi-National Park,42.8973,140.57,QN02gv,JP-HK,27,27,1288,0,0
JP-0105,Onuma Quasi-National Park,41.9858,140.669,QN01ix,JP-HK,9,9,517,0,0
JP-0106,Shimokita Hanto Quasi-National Park,41.3286,141.06,QN01mh,JP-AO,18,18,964,0,0
JP-0107,Tsugaru Quasi-National Park,41.2536,140.345,QN01eg,JP-AO,46,44,1647,0,0
JP-0108,Hayachine Quasi-National Park,39.5432,141.492,QM09rn,JP-IW,15,14,499,0,0
JP-0109,Kurikoma Quasi-National Park,38.9447,140.805,QM08jw,"JP-AK,JP-IW,JP-MG,JP-YT",63,60,2375,0,0
JP-0110,Zao Quasi-National Park,38.1479,140.45,QM08fd,"JP-MG,JP-YT",276,245,9880,0,0
JP-0111,Oga Quasi-National Park,39.8873,139.777,PM99vv,JP-AK,39,34,1243,0,0
JP-0112,Chokai Quasi-National Park,39.0781,140.041,QM09ab,"JP-AK,JP-YT",46,41,1779,0,0
JP-0113,Echigo sanzan-Tadami Quasi-National Park,37.2688,139.051,PM97mg,"JP-FS,JP-NI",68,62,2490,0,0
JP-0114,Suigo-Tsukuba Quasi-National Park,35.99,140.474,QM05fx,"JP-CH,JP-IB",897,773,52184,0,24
JP-0115,Myogi-Arafune-Saku Kogen Quasi-National Park,36.2934,138.842,PM96kh,"JP-GM,JP-NN",102,94,5059,0,0
JP-0116,Minami-Boso Quasi-National Park,35.1161,140.122,QM05bc,JP-CH,371,333,22015,0,9
JP-0117,Meiji no Mori Takao Quasi-National Park,35.6334,139.266,PM95pp,JP-TK,105,88,3048,0,0
JP-0118,Tanzawa-Oyama Quasi-National Park,35.4105,139.21,PM95oj,JP-KN,216,188,12543,0,10
JP-0119,Sado-Yahiko-Yoneyama Quasi-National Park,38.1614,138.324,PM98dd,JP-NI,30,27,1455,0,0
JP-0120,Noto Hanto Quasi-National Park,37.5256,137.257,PM87pm,"JP-IS,JP-TY",88,83,3255,0,0
JP-0121,Echizen-Kaga Kaigan Quasi-National Park,36.249,136.199,PM86cf,"JP-FI,JP-IS",63,61,2369,0,0
JP-0122,Wakasa Wan Quasi-National Park,35.5781,135.875,PM75wn,"JP-FI,JP-KY",83,77,5653,0,2
JP-0123,Yatsugatake-Chushin Kogen Quasi-National Park,35.9981,138.358,PM95ex,"JP-NN,JP-YN",1221,712,21511,0,0
JP-0124,Chuo Alps Quasi-National Park,35.7901,137.811,PM85vs,JP-NN,68,63,2038,0,0
JP-0125,Tenryu-Okumikawa Quasi-National Park,35.1872,137.757,PM85ve,"JP-AI,JP-NN,JP-SZ",160,143,5821,0,1
JP-0126,Ibi-Sekigahara-Yoro Quasi-National Park,35.2942,136.509,PM85gh,JP-GF,222,180,11310,0,4
JP-0127,Hida-Kisogawa Quasi-National Park,35.7334,137.203,PM85or,"JP-AI,JP-GF",136,127,4123,0,0
JP-0128,Aichi Kogen Quasi-National Park,35.0331,137.41,PM85qa,JP-AI,322,290,8071,0,0
JP-0129,Mikawa Wan Quasi-National Park,34.8155,137.233,PM84ot,JP-AI,956,854,21412,0,0
JP-0130,Suzuka Quasi-National Park,35.0769,136.339,PM85eb,"JP-ME,JP-SH",110,99,2378,0,0
JP-0131,Muro-Akame-Aoyama Quasi-National Park,34.5597,136.092,PM84bn,"JP-ME,JP-NR",627,415,15329,0,1
JP-0132,Biwako Quasi-National Park,35.2377,136.166,PM85bf,"JP-KY,JP-SH",284,249,7866,0,0
JP-0133,Tango-Amanohashidate-Oeyama Quasi-National Park,35.5669,135.19,PM75on,JP-KY,70,66,3641,0,0
JP-0134,Kyoto Tamba Kogen Quasi-National Park,35.2765,135.589,PM75tg,JP-KY,62,60,2492,0,0
JP-0135,Meiji no Mori Mino Quasi-National Park,34.8577,135.478,PM74ru,JP-OS,69,64,1764,0,0
JP-0136,Kongo-Ikoma-Kisen Quasi-National Park,34.4607,135.687,PM74ul,"JP-NR,JP-OS,JP-WK",498,453,11647,0,0
JP-0137,Hyonosen-Ushiroyama-Nagisan Quasi-National Park,35.4969,134.471,PM75fl,"JP-HG,JP-OY,JP-TT",44,42,1511,0,0
JP-0138,Yamato-Aogaki Quasi-National Park,34.5394,135.857,PM74wm,JP-NR,69,60,1382,0,0
JP-0139,Koya-Ryujin Quasi-National Park,34.0765,135.56,PM74sb,"JP-NR,JP-WK",72,71,1908,0,0
JP-0140,Hiba-Dogo-Taishaku Quasi-National Park,35.0732,133.057,PM65mb,"JP-HS,JP-SM,JP-TT",40,35,1273,0,0
JP-0141,Nishi-Chugoku Sanchi Quasi-National Park,34.5624,132.025,PM64an,"JP-HS,JP-SM,JP-YC",54,41,2342,0,0
JP-0142,Kita-Nagato Kaigan Quasi-National Park,34.5321,131.499,PM54rm,JP-YC,32,32,1872,0,0
JP-0143,Akiyoshidai Quasi-National Park,34.2499,131.304,PM54pf,JP-YC,16,16,800,0,0
JP-0144,Tsurugisan Quasi-National Park,33.9177,133.805,PM63vw,"JP-KC,JP-TS",44,39,3350,0,0
JP-0145,Muroto-Anan Kaigan Quasi-National Park,33.8353,134.747,PM73iu,"JP-KC,JP-TS",80,79,4986,0,0
JP-0146,Ishizuchi Quasi-National Park,33.7667,133.114,PM63ns,"JP-EH,JP-KC",21,18,775,0,0
JP-0147,Kitakyushu Quasi-National Park,33.8461,130.794,PM53ju,JP-FO,21,20,1366,0,0
JP-0148,Genkai Quasi-National Park,33.58,130.097,PM53bn,"JP-FO,JP-NS,JP-SG",56,50,1846,0,0
JP-0149,Yaba-Hita-Hikosan Quasi-National Park,33.5144,131.005,PM53mm,"JP-FO,JP-KM,JP-OT",37,35,1706,0,0
JP-0150,Iki-Tsushima Quasi-National Park,33.7412,129.708,PM43ur,JP-NS,9,9,507,0,0
JP-0151,Kyushu Chuo Sanchi Quasi-National Park,32.5319,131.023,PM52mm,"JP-KM,JP-MZ",20,18,1009,0,0
JP-0152,Nippo Kaigan Quasi-National Park,33.0578,132.007,PM63ab,"JP-MZ,JP-OT",83,73,4453,0,0
JP-0153,Sobo-Katamuki Quasi-National Park,32.8359,131.431,PM52ru,"JP-MZ,JP-OT",25,22,1605,0,0
JP-0154,Nichinan Kaigan Quasi-National Park,31.8034,131.469,PM51rt,"JP-KS,JP-MZ",251,246,7983,0,0
JP-0155,Koshikishima Quasi-National Park,31.8617,129.877,PM41wu,JP-KS,8,7,822,0,0
JP-0156,Okinawa Kaigan Quasi-National Park,26.778,128.213,PL46cs,JP-ON,35,31,1168,0,0
JP-0157,Okinawa Senseki Quasi-National Park,26.088,127.699,PL36uc,JP-ON,27,25,525,0,0
JP-0201,Takino Suzuran Hillside National Government Park,42.9109,141.38,QN02qv,JP-HK,12,12,312,0,0
JP-0202,Michinoku Lakewood National Government Park,38.1848,140.672,QM08ie,JP-MG,33,33,1143,0,0
JP-0203,Hitachi Seaside National Government Park,36.4029,140.598,QM06hj,JP-IB,24,22,505,0,0
JP-0204,Musashi-Kyuryo National Government Park,36.0836,139.369,PM96qc,JP-ST,31,30,797,0,0
JP-0205,Showa Kinen National Government Park,35.7108,139.396,PM95qr,JP-TK,115,98,2328,0,0
JP-0206,The Tokyo Rinkai Disaster Prevention National Government Park,35.6355,139.796,PM95vp,JP-TK,90,81,1211,0,0
JP-0207,Echigo Hillside National Government Park,37.4174,138.746,PM97ik,JP-NI,13,12,389,0,0
JP-0208,Alps Azumino National Government Park,36.315,137.842,PM86wh,JP-NN,59,56,1284,0,0
JP-0209,Kiso Sansen National Government Park,35.3578,136.813,PM85ji,"JP-AI,JP-GF,JP-ME",439,377,10157,0,0
JP-0210,Yodogawa Riverside National Government Park,34.7446,135.558,PM74sr,"JP-KY,JP-OS",206,193,5295,0,0
JP-0211,Akashi Kaikyo National Government Park,34.5628,135.011,PM74mn,JP-HG,17,17,345,0,0
JP-0213,Asuka Historical National Government Park,34.4654,135.804,PM74vl,JP-NR,53,53,1112,0,0
JP-0214,Bihoku Hillside National Government Park,34.8385,132.997,PM64lu,JP-HS,17,16,419,0,0
JP-0215,Sanuki Manno National Government Park,34.1648,133.891,PM64wd,JP-KG,18,18,402,0,0
JP-0216,Uminonakamichi Seaside National Government Park,33.655,130.356,PM53ep,JP-FO,21,19,471,0,0
JP-0217,Yoshinogari Historical National Government Park,33.3242,130.384,PM53eh,JP-SG,12,12,575,0,0
JP-0218,Okinawa Kinen National Government Park,26.6919,127.88,PL36wq,JP-ON,17,15,404,0,0
JP-1001,Akkeshi-Kiritappu-Konbumori Quasi-National Park,43.0169,144.838,QN23ka,JP-HK,30,11,567,0,0
JP-1002,Furano-Ashibetsu Prefectural Nature Park,43.2133,142.284,QN13df,JP-HK,51,51,1113,0,0
JP-1003,Hiyama Prefectural Nature Park,41.8689,140.114,QN01bu,JP-HK,13,12,809,0,0
JP-1004,Esan Prefectural Nature Park,41.815,141.173,QN01ot,JP-HK,15,11,369,0,0
JP-1005,Notsuke-Furen Prefectural Nature Park,43.6049,145.284,QN23po,JP-HK,9,8,561,0,0
JP-1006,Matsumae-Yagoshi Prefectural Nature Park,41.3983,140.199,QN01cj,JP-HK,10,10,409,0,0
JP-1007,North Okhotsk Prefectural Nature Park,45.1472,142.37,QN15ed,JP-HK,5,4,234,0,0
JP-1008,Nopporo Shinrin Kouen Prefectural Nature Park,43.0525,141.501,QN03sb,JP-HK,17,16,446,0,0
JP-1009,Kariba-Motta Prefectural Nature Park,42.6097,139.853,PN92wo,JP-HK,12,12,843,0,0
JP-1010,Shumarinai Prefectural Nature Park,44.3083,142.181,QN14ch,JP-HK,6,6,298,0,0
JP-1011,Teshiodake Prefectural Nature Park,43.9875,142.861,QN13kx,JP-HK,4,4,187,0,0
JP-1012,Sharidake Prefectural Nature Park,43.7617,144.723,QN23is,JP-HK,4,4,103,0,0
JP-1013,Makomanai Prefectural Park,42.9957,141.344,QN02qx,JP-HK,22,20,500,0,0
JP-1014,Hokkaido kodomo no kuni Prefectural Park,43.524,141.94,QN03xm,JP-HK,16,10,295,0,0
JP-1015,Nopporo Sports Prefectural Park,43.0692,141.531,QN03sb,JP-HK,11,10,272,0,0
JP-1016,Okhotsk Prefectural Park,43.9902,144.243,QN23cx,JP-HK,11,9,263,0,0
JP-1017,Okhotsk Sea Ice Prefectural Park,44.3167,143.394,QN14qh,JP-HK,8,6,296,0,0
JP-1018,Soya Fureai Prefectural Park,45.3942,141.757,QN05vj,JP-HK,15,11,892,0,0
JP-1019,Sunpillar Prefectural Park,44.3739,142.479,QN14fi,JP-HK,5,5,270,0,0
JP-1020,Yumenomori Prefectural Park,43.5688,144.956,QN23ln,JP-HK,10,8,360,0,0
JP-1021,Tokachi Ecology Prefectural Park,42.9336,143.31,QN12pw,JP-HK,14,10,359,0,0
JP-1022,South Hokkaido Shiki no Mori Prefectural Park,41.8489,140.768,QN01ju,JP-HK,8,7,340,0,0
JP-1023,Volcano Bay Panorama Prefectural Park,42.2268,140.314,QN02df,JP-HK,10,9,244,0,0
JP-1024,Asamushi-Natsudomari Prefectural Nature Park,40.9981,140.893,QN00kx,JP-AO,24,24,949,0,0
JP-1025,Owani Ikarigaseki Onsenkyo Prefectural Nature Park,40.4092,140.644,QN00hj,JP-AO,27,26,896,0,0
JP-1026,Nakuidake Prefectural Nature Park,40.3879,141.308,QN00pj,JP-AO,17,17,689,0,0
JP-1027,Ashinochishogun Prefectural Nature Park,40.9136,140.452,QN00fv,JP-AO,25,24,952,0,0
JP-1028,Kuroishi Onsenkyo Prefectural Nature Park,40.5681,140.732,QN00in,JP-AO,19,19,731,0,0
JP-1029,Iwaki Kogen Prefectural Nature Park,40.6144,140.305,QN00do,JP-AO,22,22,734,0,0
JP-1030,Tsugaru Shirakami Prefectural Nature Park,40.6294,140.111,QN00bp,JP-AO,12,11,514,0,0
JP-1031,New Aomori Prefectural Sports Prefectural Park,40.8428,140.841,QN00ku,JP-AO,21,20,484,0,0
JP-1033,Hanamaki Onsenkyo Prefectural Nature Park,39.4489,141.073,QM09mk,JP-IW,19,19,624,0,0
JP-1034,Kuji-Hiraniwa Prefectural Nature Park,40.0839,141.508,QN00sc,JP-IW,12,11,474,0,0
JP-1035,Sotoyama-Hayasaka Heights Prefectural Nature Park,39.8183,141.378,QM09qt,JP-IW,21,19,740,0,0
JP-1036,Yuda Onsenkyo Prefectural Nature Park,39.3406,140.79,QM09ji,JP-IW,23,22,857,0,0
JP-1037,Orizume-Basenkyo Prefectural Nature Park,40.251,141.276,QN00pg,JP-IW,20,19,1015,0,0
JP-1038,Goyozan Prefectural Nature Park,39.203,141.729,QM09ue,JP-IW,56,50,1653,0,0
JP-1039,Murone Kogen Prefectural Nature Park,38.9739,141.446,QM08rx,JP-IW,54,43,1395,0,0
JP-1040,Goshoko Koiki Prefectural Park,39.6676,140.978,QM09lq,JP-IW,29,28,1246,0,0
JP-1041,Takizawa Forest Prefectural Park,39.8067,141.138,QM09nt,JP-IW,24,22,709,0,0
JP-1042,Hanamaki Koiki Prefectural Park,39.4335,141.056,QM09mk,JP-IW,24,20,556,0,0
JP-1043,Uchimaru Ryokuchi Prefectural Park,39.7026,141.153,QM09nq,JP-IW,13,13,245,0,0
JP-1044,Zao Kogen Prefectural Nature Park,38.0819,140.549,QM08gb,JP-MG,41,40,1819,0,0
JP-1045,Abukuma Keikoku Prefectural Nature Park,37.8333,140.715,QM07it,JP-MG,42,42,1668,0,0
JP-1046,Futakuchi Kyokoku Prefectural Nature Park,38.2737,140.601,QM08hg,JP-MG,45,44,1481,0,0
JP-1047,Funagatarenpo Prefectural Nature Park,38.4503,140.631,QM08hk,JP-MG,105,103,4066,0,0
JP-1048,Matsushima Prefectural Nature Park,38.3533,141.064,QM08mi,JP-MG,192,183,6646,0,0
JP-1049,Asahiyama Prefectural Nature Park,38.4883,141.181,QM08ol,JP-MG,26,25,1303,0,0
JP-1050,Kenjosan Mangokuura Prefectural Nature Park,38.4058,141.401,QM08qj,JP-MG,57,51,1998,0,0
JP-1051,Kesennuma Prefectural Nature Park,38.8608,141.499,QM08ru,JP-MG,42,40,1363,0,0
JP-1052,Matsushima Koen Prefectural Park,38.3661,141.061,QM08mi,JP-MG,92,91,3423,0,0
JP-1053,Miyaginohara Prefectural Park,38.2564,140.902,QM08kg,JP-MG,34,31,733,0,0
JP-1054,Sendaiko Tagajo Chiku Kansho Ryokuchi Prefectural Park,38.2895,141.033,QM08mg,JP-MG,32,31,779,0,0
JP-1055,Yamoto Kaihin Ryokuchi Prefectural Park,38.4053,141.238,QM08oj,JP-MG,21,21,678,0,0
JP-1056,Iwanuma Kaihin Ryokuchi Prefectural Park,38.1187,140.932,QM08lc,JP-MG,41,39,1103,0,0
JP-1057,Kasenuma Prefectural Park,38.3124,140.986,QM08lh,JP-MG,26,25,808,0,0
JP-1058,Miyagi Sports Prefectural Park,38.3354,140.953,QM08li,JP-MG,26,26,730,0,0
JP-1059,Hachimori Iwadate Prefectural Nature Park,40.37,140.01,QN00ai,JP-AK,15,13,472,0,0
JP-1060,Akita Shirakami Prefectural Nature Park,40.42,140.12,QN00bk,JP-AK,15,15,707,0,0
JP-1061,Tashirodake Prefectural Nature Park,40.43,140.41,QN00ek,JP-AK,11,11,587,0,0
JP-1062,Kimimachi-zaka Prefectural Nature Park,40.2214,140.256,QN00df,JP-AK,16,15,625,0,0
JP-1063,Moriyoshizan Prefectural Nature Park,39.98,140.54,QM09gx,JP-AK,8,6,329,0,0
JP-1064,Taiheizan Prefectural Nature Park,39.79,140.31,QM09ds,JP-AK,35,31,880,0,0
JP-1065,Tazawako Dakigaeri Prefectural Nature Park,39.73,140.66,QM09hr,JP-AK,25,24,723,0,0
JP-1066,Magi Mahiru Prefectural Nature Park,39.5375,140.69,QM09im,JP-AK,17,16,551,0,0
JP-1067,Akita Prefectural Central Prefectural Park,39.6231,140.204,QM09co,JP-AK,19,17,586,0,0
JP-1068,Hokuo no Mori Prefectural Park,40.1645,140.367,QN00ed,JP-AK,17,17,477,0,0
JP-1069,Koizumigata Prefectural Park,39.8136,140.07,QM09at,JP-AK,26,23,610,0,0
JP-1070,Shonai Kaihin Prefectural Nature Park,38.8513,139.787,PM98vu,JP-YT,35,34,1636,0,0
JP-1071,Goshozan Prefectural Nature Park,38.4555,140.614,QM08hk,JP-YT,61,60,3094,0,0
JP-1072,Kennan Prefectural Nature Park,38.0034,140.205,QM08ca,JP-YT,44,43,2252,0,0
JP-1073,Kabusan Prefectural Nature Park,38.9905,140.389,QM08ex,JP-YT,19,19,1080,0,0
JP-1074,Tendo Kogen Prefectural Nature Park,38.349,140.452,QM08fi,JP-YT,134,133,6371,0,0
JP-1075,Mogamigawa Prefectural Nature Park,38.7565,140.051,QM08as,JP-YT,31,28,1388,0,0
JP-1076,Yamagata Prefectural General Sports Prefectural Park,38.3361,140.377,QM08ei,JP-YT,98,97,3412,0,1
JP-1077,Nishizao Prefectural Park,38.205,140.355,QM08ee,JP-YT,40,38,1278,0,0
JP-1078,Yumiharidaira Prefectural Park,38.4761,140.003,QM08al,JP-YT,20,19,657,0,0
JP-1079,Nakayama Prefectural Park,38.3421,140.267,QM08di,JP-YT,35,32,1348,0,1
JP-1080,Mogamigawa Furusato Sogo Prefectural Park,38.3652,140.263,QM08di,JP-YT,43,37,1314,0,0
JP-1081,Mogami Central Prefectural Park,38.7601,140.308,QM08ds,JP-YT,20,20,699,0,0
JP-1082,Zao Miharashi no Oka Museum Prefectural Park,38.1879,140.295,QM08de,JP-YT,33,30,1051,0,0
JP-1083,Kenko no Mori Prefectural Park,38.3003,140.345,QM08eh,JP-YT,87,82,2927,0,0
JP-1084,Yuso no Oka Prefectural Park,38.2152,140.349,QM08ef,JP-YT,37,37,932,0,0
JP-1085,Shonai Kuko Kansho Ryokuchi Prefectural Park,38.816,139.792,PM98vt,JP-YT,26,22,744,0,0
JP-1086,Kenmin Ryokuchi Prefectural Park,38.2395,140.362,QM08ef,JP-YT,35,33,888,0,0
JP-1087,Kenseishi Ryokuchi Prefectural Park,38.2565,140.341,QM08eg,JP-YT,18,18,566,0,0
JP-1088,Ryozen Prefectural Nature Park,37.7765,140.677,QM07is,JP-FS,28,27,1406,0,0
JP-1089,Kasumigajo Prefectural Nature Park,37.5991,140.429,QM07fo,JP-FS,37,36,1942,0,1
JP-1090,Nanko Prefectural Nature Park,37.1097,140.22,QM07cc,JP-FS,84,80,2733,0,0
JP-1091,Okukuji Prefectural Nature Park,36.9379,140.28,QM06dw,JP-FS,46,45,1849,0,0
JP-1092,Iwaki Kaigan Prefectural Nature Park,37.1364,140.998,QM07ld,JP-FS,159,52,1914,0,0
JP-1093,Matsukawaura Prefectural Nature Park,37.7981,140.976,QM07lt,JP-FS,27,27,963,0,0
JP-1094,Nakoso Prefectural Nature Park,36.8678,140.782,QM06ju,JP-FS,28,26,806,0,0
JP-1096,Okawa Hatori Prefectural Nature Park,37.2615,140.07,QM07ag,JP-FS,261,254,6677,0,0
JP-1097,Abukuma Kogen Chubu Prefectural Nature Park,37.3549,140.698,QM07ii,JP-FS,46,44,3248,0,0
JP-1098,Natsuigawa Keikoku Prefectural Nature Park,37.1016,140.798,QM07jc,JP-FS,22,20,956,0,0
JP-1099,Azuma Sports Prefectural Park,37.7201,140.36,QM07er,JP-FS,36,36,1170,0,0
JP-1100,Ouse Prefectural Park,37.4128,140.274,QM07dj,JP-FS,67,62,1967,0,0
JP-1101,Fukushima Airport Prefectural Park,37.2467,140.42,QM07ff,JP-FS,36,34,1763,0,0
JP-1102,Azumagaoka Prefectural Park,37.6313,140.969,QM07lp,JP-FS,17,17,848,0,0
JP-1103,Iwaki Prefectural Park,37.0108,140.92,QM07la,JP-FS,17,17,405,0,0
JP-1104,Hirono Bosai Ryokuchi Prefectural Park,37.2087,141.004,QM07mf,JP-FS,16,16,706,0,0
JP-1105,Aizu Recreation Prefectural Park,37.515,140.018,QM07am,JP-FS,40,39,1236,0,0
JP-1106,Hanazono Hananuki Prefectural Nature Park,36.8348,140.703,QM06iu,JP-IB,30,27,944,0,0
JP-1107,Takasuzu Prefectural Nature Park,36.6143,140.589,QM06ho,JP-IB,55,44,1242,0,0
JP-1108,Ota Prefectural Nature Park,36.5418,140.514,QM06gn,JP-IB,26,23,733,0,0
JP-1109,Okukuji Prefectural Nature Park,36.9269,140.263,QM06dw,JP-IB,66,58,2517,0,0
